date,weekday,rhr(bpm)
4/15/2020,Wed,48
4/16/2020,Thu,48
4/17/2020,Fri,49
4/18/2020,Sat,43
4/19/2020,Sun,41
4/20/2020,Mon,42
4/21/2020,Tue,43
4/22/2020,Wed,45
4/23/2020,Thu,44
4/24/2020,Fri,49
4/25/2020,Sat,49
4/26/2020,Sun,47
4/27/2020,Mon,48
4/28/2020,Tue,53
4/29/2020,Wed,49
4/30/2020,Thu,46
5/1/2020,Fri,47
5/2/2020,Sat,54
5/3/2020,Sun,47
5/4/2020,Mon,52
5/5/2020,Tue,49
5/6/2020,Wed,45
5/7/2020,Thu,50
5/8/2020,Fri,59
5/9/2020,Sat,56
5/10/2020,Sun,50
5/11/2020,Mon,53
5/12/2020,Tue,49
5/13/2020,Wed,51
5/14/2020,Thu,48
5/15/2020,Fri,45
5/16/2020,Sat,46
5/17/2020,Sun,45
5/18/2020,Mon,44
5/19/2020,Tue,43
5/20/2020,Wed,44
5/21/2020,Thu,48
5/22/2020,Fri,48
5/23/2020,Sat,48
5/24/2020,Sun,52
5/25/2020,Mon,48
5/26/2020,Tue,48
5/27/2020,Wed,53
5/28/2020,Thu,55
5/29/2020,Fri,55
5/30/2020,Sat,42
5/31/2020,Sun,48
6/1/2020,Mon,45
6/2/2020,Tue,48
6/3/2020,Wed,46
6/4/2020,Thu,47
6/5/2020,Fri,52
6/6/2020,Sat,47
6/7/2020,Sun,46
6/8/2020,Mon,47
6/9/2020,Tue,45
6/10/2020,Wed,50
6/11/2020,Thu,46
6/12/2020,Fri,46
6/13/2020,Sat,45
6/14/2020,Sun,47
6/15/2020,Mon,47
6/16/2020,Tue,47
6/17/2020,Wed,47
6/18/2020,Thu,47
6/19/2020,Fri,46
6/20/2020,Sat,48
6/21/2020,Sun,48
6/22/2020,Mon,46
6/23/2020,Tue,46
6/24/2020,Wed,48
6/25/2020,Thu,50
6/26/2020,Fri,45
6/27/2020,Sat,47
6/28/2020,Sun,46
6/29/2020,Mon,47
6/30/2020,Tue,46
7/1/2020,Wed,47
7/2/2020,Thu,48
7/3/2020,Fri,46
7/4/2020,Sat,46
7/5/2020,Sun,44
7/6/2020,Mon,46
7/7/2020,Tue,45
7/8/2020,Wed,50
7/9/2020,Thu,51
7/10/2020,Fri,47
7/11/2020,Sat,43
7/12/2020,Sun,44
7/13/2020,Mon,45
7/14/2020,Tue,46
7/15/2020,Wed,45
7/16/2020,Thu,51
7/17/2020,Fri,50
7/18/2020,Sat,53
7/19/2020,Sun,52
7/20/2020,Mon,45
7/21/2020,Tue,47
7/22/2020,Wed,45
7/23/2020,Thu,47
7/24/2020,Fri,47
7/25/2020,Sat,46
7/26/2020,Sun,44
7/27/2020,Mon,44
7/28/2020,Tue,44
7/29/2020,Wed,43
7/30/2020,Thu,43
7/31/2020,Fri,44
8/1/2020,Sat,44
8/2/2020,Sun,43
8/3/2020,Mon,42
8/4/2020,Tue,43
8/5/2020,Wed,49
8/6/2020,Thu,45
8/7/2020,Fri,45
8/8/2020,Sat,45
8/9/2020,Sun,44
8/10/2020,Mon,43
8/11/2020,Tue,43
8/12/2020,Wed,44
8/13/2020,Thu,44
8/14/2020,Fri,47
8/15/2020,Sat,46
8/16/2020,Sun,44
8/17/2020,Mon,45
8/18/2020,Tue,45
8/19/2020,Wed,45
8/20/2020,Thu,47
8/21/2020,Fri,45
8/22/2020,Sat,44
8/23/2020,Sun,46
8/24/2020,Mon,44
8/25/2020,Tue,43
8/26/2020,Wed,44
8/27/2020,Thu,42
8/28/2020,Fri,43
8/29/2020,Sat,46
8/30/2020,Sun,42
8/31/2020,Mon,43
9/1/2020,Tue,44
9/2/2020,Wed,47
9/3/2020,Thu,44
9/4/2020,Fri,46
9/5/2020,Sat,47
9/6/2020,Sun,46
9/7/2020,Mon,43
9/8/2020,Tue,44
9/9/2020,Wed,49
9/10/2020,Thu,48
9/11/2020,Fri,46
9/12/2020,Sat,49
9/13/2020,Sun,45
9/14/2020,Mon,42
9/15/2020,Tue,46
9/16/2020,Wed,48
9/17/2020,Thu,47
9/18/2020,Fri,45
9/19/2020,Sat,48
9/20/2020,Sun,42
9/21/2020,Mon,50
9/22/2020,Tue,47
9/23/2020,Wed,46
9/24/2020,Thu,48
9/25/2020,Fri,49
9/26/2020,Sat,45
9/27/2020,Sun,44
9/28/2020,Mon,44
9/29/2020,Tue,47
9/30/2020,Wed,52
10/1/2020,Thu,49
10/2/2020,Fri,44
10/3/2020,Sat,44
10/4/2020,Sun,44
10/5/2020,Mon,47
10/6/2020,Tue,45
10/7/2020,Wed,48
10/8/2020,Thu,50
10/9/2020,Fri,48
10/10/2020,Sat,48
10/11/2020,Sun,47
10/12/2020,Mon,49
10/13/2020,Tue,48
10/14/2020,Wed,47
10/15/2020,Thu,48
10/16/2020,Fri,47
10/17/2020,Sat,45
10/18/2020,Sun,49
10/19/2020,Mon,49
10/20/2020,Tue,46
10/21/2020,Wed,48
10/22/2020,Thu,46
10/23/2020,Fri,47
10/24/2020,Sat,46
10/25/2020,Sun,46
10/26/2020,Mon,47
10/27/2020,Tue,47
10/28/2020,Wed,47
10/29/2020,Thu,49
10/30/2020,Fri,47
10/31/2020,Sat,47
11/1/2020,Sun,47
11/2/2020,Mon,51
11/3/2020,Tue,49
11/4/2020,Wed,54
11/5/2020,Thu,47
11/6/2020,Fri,50
11/7/2020,Sat,52
11/8/2020,Sun,48
11/9/2020,Mon,48
11/10/2020,Tue,48
11/11/2020,Wed,48
11/12/2020,Thu,48
11/13/2020,Fri,48
11/14/2020,Sat,46
11/15/2020,Sun,47
11/16/2020,Mon,44
11/17/2020,Tue,42
11/18/2020,Wed,46
11/19/2020,Thu,48
11/20/2020,Fri,48
11/21/2020,Sat,48
11/22/2020,Sun,46
11/23/2020,Mon,48
11/24/2020,Tue,44
11/25/2020,Wed,46
11/26/2020,Thu,48
11/27/2020,Fri,43
11/28/2020,Sat,46
11/29/2020,Sun,47
11/30/2020,Mon,49
12/1/2020,Tue,46
12/2/2020,Wed,48
12/3/2020,Thu,51
12/4/2020,Fri,47
12/5/2020,Sat,45
12/6/2020,Sun,46
12/7/2020,Mon,48
12/8/2020,Tue,45
12/9/2020,Wed,45
12/10/2020,Thu,47
12/11/2020,Fri,47
12/12/2020,Sat,47
12/13/2020,Sun,45
12/14/2020,Mon,47
12/15/2020,Tue,47
12/16/2020,Wed,46
12/17/2020,Thu,45
12/18/2020,Fri,49
12/19/2020,Sat,49
12/20/2020,Sun,49
12/21/2020,Mon,48
12/22/2020,Tue,46
12/23/2020,Wed,45
12/24/2020,Thu,45
12/25/2020,Fri,47
12/26/2020,Sat,46
12/27/2020,Sun,50
12/28/2020,Mon,46
12/29/2020,Tue,52
12/30/2020,Wed,49
12/31/2020,Thu,48
1/1/2021,Fri,47
1/2/2021,Sat,45
1/3/2021,Sun,47
1/4/2021,Mon,45
1/5/2021,Tue,45
1/6/2021,Wed,46
1/7/2021,Thu,46
1/8/2021,Fri,51
1/9/2021,Sat,47
1/10/2021,Sun,46
1/11/2021,Mon,49
1/12/2021,Tue,47
1/13/2021,Wed,47
1/14/2021,Thu,46
1/15/2021,Fri,48
1/16/2021,Sat,47
1/17/2021,Sun,47
1/18/2021,Mon,46
1/19/2021,Tue,45
1/20/2021,Wed,48
1/21/2021,Thu,47
1/22/2021,Fri,49
1/23/2021,Sat,47
1/24/2021,Sun,48
1/25/2021,Mon,47
1/26/2021,Tue,48
1/27/2021,Wed,51
1/28/2021,Thu,49
1/29/2021,Fri,51
1/30/2021,Sat,53
1/31/2021,Sun,55
2/1/2021,Mon,56
2/2/2021,Tue,54
2/3/2021,Wed,50
2/4/2021,Thu,56
2/5/2021,Fri,53
2/6/2021,Sat,58
2/7/2021,Sun,60
2/8/2021,Mon,57
2/9/2021,Tue,51
2/10/2021,Wed,49
2/11/2021,Thu,47
2/12/2021,Fri,52
2/13/2021,Sat,51
2/14/2021,Sun,55
2/15/2021,Mon,53
2/16/2021,Tue,48
2/17/2021,Wed,47
2/18/2021,Thu,49
2/19/2021,Fri,49
2/20/2021,Sat,48
2/21/2021,Sun,55
2/22/2021,Mon,49
2/23/2021,Tue,47
2/24/2021,Wed,46
2/25/2021,Thu,47
2/26/2021,Fri,45
2/27/2021,Sat,54
2/28/2021,Sun,51
3/1/2021,Mon,48
3/2/2021,Tue,46
3/3/2021,Wed,45
3/4/2021,Thu,43
3/5/2021,Fri,45
3/6/2021,Sat,51
3/7/2021,Sun,48
3/8/2021,Mon,45
3/9/2021,Tue,46
3/10/2021,Wed,57
3/11/2021,Thu,48
3/12/2021,Fri,47
3/13/2021,Sat,60
3/14/2021,Sun,47
