day,date,weight,start_time,run_type,distance_type,weather,location,run_shoes,distance,total_time,average_pace,splits,notes
Tuesday,1/1/2013,,,,,,,,,,,,
Wednesday,1/2/2013,,,,,,,,,,,,
Thursday,1/3/2013,,,,,,,,,,,,
Friday,1/4/2013,,,,,,,,,,,,
Saturday,1/5/2013,,,,,,,,,,,,
Sunday,1/6/2013,,,,,,,,,,,,
Monday,1/7/2013,,,,,,,,,,,,
Tuesday,1/8/2013,,,,,,,,,,,,
Wednesday,1/9/2013,,,,,,,,,,,,
Thursday,1/10/2013,,,,,,,,,,,,
Friday,1/11/2013,,,,,,,,,,,,
Saturday,1/12/2013,,,,,,,,,,,,
Sunday,1/13/2013,,,,,,,,,,,,
Monday,1/14/2013,,,,,,,,,,,,
Tuesday,1/15/2013,,,,,,,,,,,,
Wednesday,1/16/2013,,,,,,,,,,,,
Thursday,1/17/2013,,,,,,,,,,,,
Friday,1/18/2013,,,,,,,,,,,,
Saturday,1/19/2013,,,,,,,,,,,,
Sunday,1/20/2013,,10:06 AM,,Short Distance,"55,clear",Bonterra Village,Nike Air Relentless,3.26,0:27:21,8:22,"8:04,8:27,8:43",
Monday,1/21/2013,,,,,,,,,,,,
Tuesday,1/22/2013,,,,,,,,,,,,
Wednesday,1/23/2013,,,,,,,,,,,,
Thursday,1/24/2013,,,,,,,,,,,,
Friday,1/25/2013,,,,,,,,,,,,
Saturday,1/26/2013,,,,,,,,,,,,
Sunday,1/27/2013,,,,,,,,,,,,
Monday,1/28/2013,,,,,,,,,,,,
Tuesday,1/29/2013,,,,,,,,,,,,
Wednesday,1/30/2013,,,,,,,,,,,,
Thursday,1/31/2013,,,,,,,,,,,,
Friday,2/1/2013,,,,,,,,,,,,
Saturday,2/2/2013,,,,,,,,,,,,
Sunday,2/3/2013,,,,,,,,,,,,
Monday,2/4/2013,,,,,,,,,,,,
Tuesday,2/5/2013,,,,,,,,,,,,
Wednesday,2/6/2013,,,,,,,,,,,,
Thursday,2/7/2013,,,,,,,,,,,,
Friday,2/8/2013,,,,,,,,,,,,
Saturday,2/9/2013,,,,,,,,,,,,
Sunday,2/10/2013,,,,,,,,,,,,
Monday,2/11/2013,,,,,,,,,,,,
Tuesday,2/12/2013,,,,,,,,,,,,
Wednesday,2/13/2013,,,,,,,,,,,,
Thursday,2/14/2013,,,,,,,,,,,,
Friday,2/15/2013,,,,,,,,,,,,
Saturday,2/16/2013,,,,,,,,,,,,
Sunday,2/17/2013,,,,,,,,,,,,
Monday,2/18/2013,,,,,,,,,,,,
Tuesday,2/19/2013,,,,,,,,,,,,
Wednesday,2/20/2013,,,,,,,,,,,,
Thursday,2/21/2013,,3:34 PM,,Short Distance,,Bonterra Village,Nike Air Relentless,1.32,0:10:47,8:12,7:38,
Friday,2/22/2013,,,,,,,,,,,,
Saturday,2/23/2013,,,,,,,,,,,,
Sunday,2/24/2013,,,,,,,,,,,,
Monday,2/25/2013,,,,,,,,,,,,
Tuesday,2/26/2013,,,,,,,,,,,,
Wednesday,2/27/2013,,,,,,,,,,,,
Thursday,2/28/2013,,,,,,,,,,,,
Friday,3/1/2013,,,,,,,,,,,,
Saturday,3/2/2013,,,,,,,,,,,,
Sunday,3/3/2013,,,,,,,,,,,,
Monday,3/4/2013,,,,,,,,,,,,
Tuesday,3/5/2013,,,,,,,,,,,,
Wednesday,3/6/2013,,,,,,,,,,,,
Thursday,3/7/2013,,,,,,,,,,,,
Friday,3/8/2013,,,,,,,,,,,,
Saturday,3/9/2013,,,,,,,,,,,,
Sunday,3/10/2013,,,,,,,,,,,,
Monday,3/11/2013,,,,,,,,,,,,
Tuesday,3/12/2013,,,,,,,,,,,,
Wednesday,3/13/2013,,,,,,,,,,,,
Thursday,3/14/2013,,,,,,,,,,,,
Friday,3/15/2013,,,,,,,,,,,,
Saturday,3/16/2013,,,,,,,,,,,,
