weekDay,date,Activity Type,dateTime,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Run Type,Distance Type,Weather,Location,Shoes
Wednesday,1/1/2020,,1/1/2020 8:57,,,3.12,,0:21:13,,,,,,6:48,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"47, clear","Ocean Springs, MS",Brooks Ghost 11
Thursday,1/2/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,"47, clear",,
Friday,1/3/2020,,1/3/2020 16:22,,,6,,0:44:44,,,,,,7:27,,,,,,,,,,,,,,,,,,Recovery,Mid Distance,"60, clear",Campus,Brooks Ghost 11
Saturday,1/4/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,"50, rain",,
Sunday,1/5/2020,,1/5/2020 10:29,,,10,,1:16:42,,,,,,7:40,,,,,,,,,,,,,,,,,,Distance,Long Distance,"42, clear","College Station, Campus",Nike Epic React 2
Monday,1/6/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,"60, clear",,
Tuesday,1/7/2020,,1/7/2020 17:50,,,3,,0:27:45,,,,,,8:43,,,,,,,,,,,,,,,,,,Recovery,Short Distance,"50, sunny",Barnett Shoals,Nike Epic React 2
Wednesday,1/8/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Thursday,1/9/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Friday,1/10/2020,,1/10/2020 17:34,,,2.56,,0:20:06,,,,,,7:50,,,,,,,,,,,,,,,,,,Recovery,Short Distance,"75, sunny","Orlando, FL",Nike Epic React 2
Saturday,1/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Sunday,1/12/2020,,1/12/2020 5:22,,,26.2,,4:07:34,,,,,,9:17,,,,,,,,,,,,,,,,,,Race,Disney Marathon,"70, clear, humid","Orlando, FL",Nike Epic React 2
Monday,1/13/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,"65, rain",,
Tuesday,1/14/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,"65, rain",,
Wednesday,1/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,"66, some rain",,
Thursday,1/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,"60, rain",,
Friday,1/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Saturday,1/18/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rest,,,,
Sunday,1/19/2020,,1/19/2020 8:28,,,3.32,,0:25:30,,,,,,7:40,,,,,,,,,,,,,,,,,,Recovery,Short Distance,"44,partly cloudy",Barnett Shoals,Brooks Ghost 11
Monday,1/20/2020,,1/20/2020 9:04,,,3.12,,0:21:02,,,,,,6:44,,,,,,,,,,,,,,,,,,Tempo,Short Distance,"31, sunny",Barnett Shoals,Brooks Ghost 11
